SOJ18_400, Small outline J-leaded package (400 mil);SOJ18_400
SOJ20_400, Small outline J-leaded package (400 mil);SOJ20_400
SOJ22_400, Small outline J-leaded package (400 mil);SOJ22_400
SOJ24_400, Small outline J-leaded package (400 mil);SOJ24_400
SOJ26_400, Small outline J-leaded package (400 mil);SOJ26_400
SOJ28_400, Small outline J-leaded package (400 mil);SOJ28_400
SOJ30_400, Small outline J-leaded package (400 mil);SOJ30_400
SOJ32_400, Small outline J-leaded package (400 mil);SOJ32_400
SOJ34_400, Small outline J-leaded package (400 mil);SOJ34_400
SOJ36_400, Small outline J-leaded package (400 mil);SOJ36_400
SOJ38_400, Small outline J-leaded package (400 mil);SOJ38_400
SOJ40_400, Small outline J-leaded package (400 mil);SOJ40_400
SOJ42_400, Small outline J-leaded package (400 mil);SOJ42_400
SOJ44_400, Small outline J-leaded package (400 mil);SOJ44_400
SOJ14_450, Small outline J-leaded package (450 mil);SOJ14_450
SOJ16_450, Small outline J-leaded package (450 mil);SOJ16_450
SOJ18_450, Small outline J-leaded package (450 mil);SOJ18_450
SOJ20_450, Small outline J-leaded package (450 mil);SOJ20_450
SOJ22_450, Small outline J-leaded package (450 mil);SOJ22_450
SOJ24_450, Small outline J-leaded package (450 mil);SOJ24_450
SOJ26_450, Small outline J-leaded package (450 mil);SOJ26_450
SOJ28_450, Small outline J-leaded package (450 mil);SOJ28_450
SOJ30_450, Small outline J-leaded package (450 mil);SOJ30_450
SOJ32_450, Small outline J-leaded package (450 mil);SOJ32_450
SOJ34_450, Small outline J-leaded package (450 mil);SOJ34_450
SOJ36_450, Small outline J-leaded package (450 mil);SOJ36_450
SOJ38_450, Small outline J-leaded package (450 mil);SOJ38_450
SOJ40_450, Small outline J-leaded package (450 mil);SOJ40_450
SOJ42_450, Small outline J-leaded package (450 mil);SOJ42_450
SOJ44_450, Small outline J-leaded package (450 mil);SOJ44_450
SSOP8, Shrink small outline package, .65mm, narrow;SSOP8
SSOP14, Shrink small outline package, .65mm, narrow;SSOP14
SSOP16, Shrink small outline package, .65mm, narrow;SSOP16
SSOP20, Shrink small outline package, .65mm, narrow;SSOP20
SSOP24, Shrink small outline package, .65mm, narrow;SSOP24
SSOP28, Shrink small outline package, .65mm, narrow;SSOP28
SSOP48W, Shrink small outline package, 25mil, wide;SSOP48W
SSOP56W, Shrink small outline package, 25mil, wide;SSOP56W
SSOP64W, Shrink small outline package, .80mm, wider;SSOP64W
MSOP8, Mini small outline package, .65mm;MSOP8
MSOP10, Mini small outline package, .5mm;MSOP10
QSOP16, Quarter size small outline package;QSOP16
QSOP20, Quarter size small outline package;QSOP20
QSOP24, Quarter size small outline package;QSOP24
QSOP28, Quarter size small outline package;QSOP28
TSOP28, Thin small outline package;TSOP28
TSOP32A, Thin small outline package;TSOP32A
TSOP32B, Thin small outline package;TSOP32B
TSSOP8, Thin shrink small outline package, narrow (3mm);TSSOP8
TSSOP10, Thin shrink small outline package, narrow (3mm);TSSOP10
TSSOP8W, Thin shrink small outline package, standard (4.4mm);TSSOP8W
TSSOP14, Thin shrink small outline package, standard (4.4mm);TSSOP14
TSSOP16, Thin shrink small outline package, standard (4.4mm);TSSOP16
TSSOP20, Thin shrink small outline package, standard (4.4mm);TSSOP20
TSSOP24, Thin shrink small outline package, standard (4.4mm);TSSOP24
TSSOP28, Thin shrink small outline package, standard (4.4mm);TSSOP28
TSSOP38N, Thin shrink small outline package, standard (4.4mm);TSSOP38N
TSSOP48N, Thin shrink small outline package, standard (4.4mm);TSSOP48N
TSSOP56N, Thin shrink small outline package, standard (4.4mm);TSSOP56N
TSSOP32, Thin shrink small outline package, wide (6.1mm);TSSOP32
TSSOP48, Thin shrink small outline package, wide (6.1mm);TSSOP48
TSSOP56, Thin shrink small outline package, wide (6.1mm);TSSOP56
TSSOP64, Thin shrink small outline package, wide (6.1mm);TSSOP64
TSSOP80, Thin shrink small outline package, wide (6.1mm);TSSOP80
PLCC20, Plastic leadless chip carrier;PLCC20
PLCC28, Plastic leadless chip carrier;PLCC28
PLCC32, Plastic leadless chip carrier;PLCC32
PLCC44, Plastic leadless chip carrier;PLCC44
PLCC52, Plastic leadless chip carrier;PLCC52
PLCC68, Plastic leadless chip carrier;PLCC68
PLCC84, Plastic leadless chip carrier;PLCC84
PLCC20X, Plastic leadless chip carrier with pin socket;PLCC20X
PLCC28X, Plastic leadless chip carrier with pin socket;PLCC28X
PLCC32X, Plastic leadless chip carrier with pin socket;PLCC32X
PLCC44X, Plastic leadless chip carrier with pin socket;PLCC44X
PLCC52X, Plastic leadless chip carrier with pin socket;PLCC52X
PLCC68X, Plastic leadless chip carrier with pin socket;PLCC68X
PLCC84X, Plastic leadless chip carrier with pin socket;PLCC84X
QFN16_3, Square Quad Flat Nolead (QFN) package;QFN16_3
TQFN16_3, Square Quad Flat Nolead (QFN) package;TQFN16_3
QFN16_3_EP, Square Quad Flat Nolead (QFN) package;QFN16_3_EP
TQFN16_3_EP, Square Quad Flat Nolead (QFN) package;TQFN16_3_EP
QFN12_4, Square Quad Flat Nolead (QFN) package;QFN12_4
TQFN12_4, Square Quad Flat Nolead (QFN) package;TQFN12_4
QFN12_4_EP, Square Quad Flat Nolead (QFN) package;QFN12_4_EP
TQFN12_4_EP, Square Quad Flat Nolead (QFN) package;TQFN12_4_EP
QFN16_4, Square Quad Flat Nolead (QFN) package;QFN16_4
TQFN16_4, Square Quad Flat Nolead (QFN) package;TQFN16_4
QFN16_4_EP, Square Quad Flat Nolead (QFN) package;QFN16_4_EP
TQFN16_4_EP, Square Quad Flat Nolead (QFN) package;TQFN16_4_EP
QFN20_4, Square Quad Flat Nolead (QFN) package;QFN20_4
TQFN20_4, Square Quad Flat Nolead (QFN) package;TQFN20_4
QFN20_4_EP, Square Quad Flat Nolead (QFN) package;QFN20_4_EP
TQFN20_4_EP, Square Quad Flat Nolead (QFN) package;TQFN20_4_EP
QFN24_4, Square Quad Flat Nolead (QFN) package;QFN24_4
TQFN24_4, Square Quad Flat Nolead (QFN) package;TQFN24_4
QFN24_4_EP, Square Quad Flat Nolead (QFN) package;QFN24_4_EP
TQFN24_4_EP, Square Quad Flat Nolead (QFN) package;TQFN24_4_EP
QFN16_5, Square Quad Flat Nolead (QFN) package;QFN16_5
TQFN16_5, Square Quad Flat Nolead (QFN) package;TQFN16_5
QFN16_5_EP, Square Quad Flat Nolead (QFN) package;QFN16_5_EP
TQFN16_5_EP, Square Quad Flat Nolead (QFN) package;TQFN16_5_EP
QFN20_5, Square Quad Flat Nolead (QFN) package;QFN20_5
TQFN20_5, Square Quad Flat Nolead (QFN) package;TQFN20_5
QFN20_5_EP, Square Quad Flat Nolead (QFN) package;QFN20_5_EP
TQFN20_5_EP, Square Quad Flat Nolead (QFN) package;TQFN20_5_EP
QFN28_5, Square Quad Flat Nolead (QFN) package;QFN28_5
TQFN28_5, Square Quad Flat Nolead (QFN) package;TQFN28_5
QFN28_5_EP, Square Quad Flat Nolead (QFN) package;QFN28_5_EP
TQFN28_5_EP, Square Quad Flat Nolead (QFN) package;TQFN28_5_EP
